frame_start,frame_end,joint,diff_angle_rad,axis_x,axis_y,axis_z
0,1,13,0.029941119,-0.121419676,-0.639349997,0.759447277
0,1,16,0.043853864,0.576219678,-0.724142253,0.379102290
0,1,18,0.069029197,0.681315303,-0.707774043,-0.186874315
0,1,20,0.026538629,0.834714174,-0.321355015,-0.447195679
0,1,14,0.016744608,-0.158392966,0.397489816,-0.904321790
0,1,17,0.014218994,-0.439013690,0.680204749,-0.586955667
0,1,19,0.042685643,-0.865449846,-0.073216215,-0.495830297
0,1,21,0.004833739,-0.386187196,0.504401982,-0.771655142
1,2,13,0.039626710,-0.154600620,-0.624182165,0.765910327
1,2,16,0.049968481,0.392020017,-0.857804775,0.332801193
1,2,18,0.062223412,0.596153378,-0.801122308,-0.053784482
1,2,20,0.028546954,0.676219881,-0.012402218,-0.736990809
1,2,14,0.019773964,-0.527473688,0.277610540,-0.803457260
1,2,17,0.015160363,-0.274970144,0.375217825,-0.885306478
1,2,19,0.043603040,-0.890960872,0.122047372,-0.437499583
1,2,21,0.015316822,-0.835963905,-0.069974013,0.544581473
2,3,13,0.044281311,-0.208251268,-0.692468226,0.690942705
2,3,16,0.062852561,0.292750001,-0.810469985,0.507362902
2,3,18,0.046982769,0.388979733,-0.920283794,0.042887960
2,3,20,0.021584125,0.868315041,-0.320101887,-0.379098743
2,3,14,0.019653020,-0.866869152,0.459985524,-0.196135148
2,3,17,0.029524129,0.060311530,0.235836044,-0.969958961
2,3,19,0.051226735,-0.921755314,0.133230552,-0.364344716
2,3,21,0.025484525,-0.922083974,0.044190541,0.384182781
3,4,13,0.045508165,-0.126802623,-0.802225769,0.583417892
3,4,16,0.066713817,0.132732719,-0.758891642,0.637599766
3,4,18,0.027396230,0.655814171,-0.753991902,0.040327206
3,4,20,0.035061628,0.766454518,-0.337328047,0.546534777
3,4,14,0.022661842,-0.716895580,0.691854954,0.087660305
3,4,17,0.026565567,-0.064014919,0.336626321,-0.939400077
3,4,19,0.051458944,-0.859783173,-0.018240264,-0.510522902
3,4,21,0.024060076,-0.902369201,0.397727489,-0.166897833
4,5,13,0.054863330,-0.079398751,-0.704592347,0.705217004
4,5,16,0.058734044,-0.053204693,-0.842446089,0.536262572
4,5,18,0.024149098,0.990354180,-0.132126614,0.045047659
4,5,20,0.037135597,0.915096521,0.094456322,0.392205477
4,5,14,0.024296742,-0.400202304,0.514345348,-0.758818388
