frame_start,frame_end,joint,diff_angle_rad,axis_x,axis_y,axis_z
0,1,13,0.028622024,-0.382847399,-0.776222169,-0.500862896
0,1,16,0.031212147,0.832389891,-0.207778081,0.513671756
0,1,18,0.015502488,0.559501171,-0.787115037,-0.261836439
0,1,20,0.040507440,0.978462279,0.044749524,0.202008307
0,1,14,0.059118476,-0.459287643,-0.343616933,0.819143951
0,1,17,0.040923227,-0.357236594,-0.000704997,-0.934019089
0,1,19,0.019713584,0.248116538,-0.959289968,-0.135581747
0,1,21,0.071279459,-0.173024282,-0.220529139,0.959944963
1,2,13,0.024394674,0.034144912,0.827067435,-0.561448514
1,2,16,0.015625039,0.719527245,0.525171041,-0.455131531
1,2,18,0.027028238,0.476848692,-0.742038906,-0.471726924
1,2,20,0.020507902,0.613596261,0.189492449,-0.767210484
1,2,14,0.021462271,0.292314440,-0.666075170,0.686289549
1,2,17,0.031349346,0.617759287,-0.636911452,-0.461312473
1,2,19,0.006870729,0.524586916,-0.263082892,-0.809938908
1,2,21,0.027239127,-0.580267131,-0.509777844,0.635186195
2,3,13,0.034096293,0.296144783,0.649017096,-0.701086044
2,3,16,0.017180339,0.299349666,0.953818321,0.028774897
2,3,18,0.030352382,0.284725606,-0.708853543,-0.645336330
2,3,20,0.018948907,0.588014603,0.168088734,-0.791322470
2,3,14,0.031074341,0.191031665,-0.802200675,0.565606773
2,3,17,0.030742640,-0.012432606,-0.997546613,-0.067638576
2,3,19,0.028688587,-0.069765784,-0.036997691,0.997035325
2,3,21,0.020167934,-0.950399518,0.304964066,0.059664201
3,4,13,0.032167669,0.543220103,0.534320235,-0.647853732
3,4,16,0.014648470,-0.123876952,0.765025079,0.633622229
3,4,18,0.023750894,0.220954299,-0.584365487,-0.781216383
3,4,20,0.018477496,0.595233560,0.052779820,-0.801744640
3,4,14,0.028994458,0.492308021,-0.753498793,0.435830951
3,4,17,0.025577910,-0.222397670,-0.945514500,0.238174036
3,4,19,0.032972917,-0.155704007,-0.064245857,0.985806942
3,4,21,0.023202483,-0.648164690,0.635357738,-0.420502871
4,5,13,0.009056276,0.630433619,0.708954990,0.314935654
4,5,16,0.010940129,-0.006029868,-0.824339509,0.567518532
4,5,18,0.009790018,0.493728757,0.158954456,-0.859298527
4,5,20,0.016787270,0.907286942,-0.075466879,-0.415218383
4,5,14,0.017551033,0.306410372,-0.694535851,0.651799083
4,5,17,0.006366411,0.403666556,-0.488275737,0.772142351
4,5,19,0.014938569,0.340336412,-0.213987306,0.915805101
4,5,21,0.007532841,-0.696219385,-0.515767813,0.508215189
5,6,13,0.006870729,0.547862351,0.668274522,-0.513825357
5,6,16,0.011283433,-0.537190557,-0.611535132,0.582252920
5,6,18,0.007008158,0.751386404,-0.544943511,-0.384410858
5,6,20,0.020403001,0.984225929,0.139132529,-0.115969449
5,6,14,0.010874554,0.405682266,-0.704630852,0.585717857
5,6,17,0.009618035,0.251711696,-0.818871796,0.516126096
5,6,19,0.028471686,-0.057508133,-0.279739022,0.958352029
5,6,21,0.010288736,-0.580501616,0.706751645,-0.405573279
