frame_start,frame_end,joint,diff_angle_rad,axis_x,axis_y,axis_z
0,1,13,0.040413152,-0.230565548,-0.775218546,0.588280320
0,1,16,0.033829521,-0.176641956,-0.550805449,0.815622687
0,1,18,0.025800657,-0.730089545,-0.264809310,0.630149543
0,1,20,0.033871781,-0.986699402,-0.000239024,-0.163226351
0,1,14,0.037334107,-0.167506680,0.687522113,-0.706774294
0,1,17,0.035614889,-0.155521870,0.686523378,-0.710382104
0,1,19,0.029725336,-0.767556787,-0.085570119,-0.635097086
0,1,21,0.027335241,0.861261249,-0.138751119,0.488688856
1,2,13,0.034416460,-0.112998627,-0.925149500,0.362795442
1,2,16,0.041713808,-0.170408145,-0.365124106,0.915357172
1,2,18,0.031051314,-0.913522422,-0.052229661,0.403593004
1,2,20,0.005652266,-0.215449750,-0.260419846,0.945286274
1,2,14,0.033389688,-0.051495101,0.687590122,-0.724203587
1,2,17,0.044506889,-0.181658998,0.614401162,-0.767811060
1,2,19,0.020635391,-0.677247107,-0.601735175,-0.423359782
1,2,21,0.007372889,0.978297174,-0.209889591,-0.072532624
2,3,13,0.040583890,0.047418851,-0.858152449,0.511337280
2,3,16,0.047144894,-0.213633224,-0.419070810,0.882558584
2,3,18,0.035755202,-0.862438500,0.306021124,0.403411597
2,3,20,0.012881766,-0.853118896,-0.088254720,0.513854086
2,3,14,0.030959034,-0.057270154,0.828058720,-0.558100820
2,3,17,0.043962471,-0.338892490,0.499157310,-0.797555268
2,3,19,0.025549930,-0.489363939,-0.713330328,-0.501778841
2,3,21,0.005777424,0.975706398,0.089589275,-0.219134659
3,4,13,0.044388872,0.054224312,-0.824703872,0.563183486
3,4,16,0.049825121,-0.264003128,-0.462125808,0.846642673
3,4,18,0.036186054,-0.748511910,0.606343448,0.268982291
3,4,20,0.012039890,-0.864222825,-0.125004232,0.488688022
3,4,14,0.032322947,-0.021128491,0.719935536,-0.693830729
3,4,17,0.038242701,-0.484854996,0.456081688,-0.746374488
3,4,19,0.034932181,-0.549546838,-0.662236810,-0.509234309
3,4,21,0.003782211,-0.269242615,-0.220876649,-0.947169960
4,5,13,0.042601772,0.034461819,-0.766587377,0.641236484
4,5,16,0.048540376,-0.269459814,-0.484069347,0.832519054
4,5,18,0.041190371,-0.714752674,0.649195194,0.260570407
4,5,20,0.010830616,-0.683492839,0.093723647,0.726475358
4,5,14,0.031839870,-0.036108702,0.642878175,-0.765248597
4,5,17,0.037979938,-0.501616538,0.448347330,-0.739889860
4,5,19,0.036389742,-0.619222820,-0.698991895,-0.357732594
4,5,21,0.008950351,-0.664289832,-0.239218742,-0.709645927
5,6,13,0.043168876,0.097990081,-0.788377762,0.607375205
5,6,16,0.048550200,-0.291418642,-0.331117749,0.897478282
5,6,18,0.049839474,-0.786601067,0.555334568,0.270202726
5,6,20,0.017834026,-0.834304392,0.080787510,0.545484900
5,6,14,0.034319334,0.060170554,0.715383410,-0.696211517
5,6,17,0.039794829,-0.462944657,0.401017398,-0.790550053
5,6,19,0.038781330,-0.615195632,-0.724312961,-0.311411679
5,6,21,0.007933636,-0.535552561,-0.418599606,-0.739251912
6,7,13,0.039166749,0.030488286,-0.738552272,0.673836410
6,7,16,0.047597904,-0.290595323,-0.387431026,0.874880433
6,7,18,0.053208545,-0.785605252,0.594229996,0.172514305
6,7,20,0.024247628,-0.887550652,-0.028118690,0.460365653
6,7,14,0.027939133,-0.052715320,0.692904472,-0.719319582
6,7,17,0.039932400,-0.363882810,0.378353536,-0.851260364
6,7,19,0.035675090,-0.619467556,-0.761498094,-0.191203058
6,7,21,0.006214808,-0.920628309,-0.340771377,-0.184485704
7,8,13,0.036304463,-0.023074783,-0.660003006,0.750945628
7,8,16,0.041039590,-0.304285586,-0.391318262,0.868517101
7,8,18,0.039896555,-0.725753963,0.664448977,0.179041460
7,8,20,0.022215569,-0.940968990,0.142623201,0.307229936
7,8,14,0.027535124,-0.080358170,0.591032624,-0.802516699
7,8,17,0.033411101,-0.396948040,0.351470530,-0.847787976
7,8,19,0.025865264,-0.606006563,-0.747701168,-0.271893889
7,8,21,0.007372889,-0.823932528,-0.567323446,-0.038794573
8,9,13,0.030579338,-0.049848214,-0.700670600,0.712038159
8,9,16,0.039367128,-0.288197786,-0.249393299,0.924631476
8,9,18,0.035210915,-0.916088223,0.381710440,0.123010322
