frame_start,frame_end,joint,diff_angle_rad,axis_x,axis_y,axis_z
0,1,13,0.033461019,-0.344505638,-0.914986908,0.210572720
0,1,16,0.035581399,-0.128275856,-0.794809103,0.593097687
0,1,18,0.039318644,-0.760877252,-0.197717771,0.618335605
0,1,20,0.006765827,-0.748609900,-0.225324824,0.625184536
0,1,14,0.031727344,-0.088571638,0.881290555,-0.464286536
0,1,17,0.036073867,-0.403142959,0.595556021,-0.695033789
0,1,19,0.034194052,-0.809462547,-0.275967002,-0.518234670
0,1,21,0.034945831,-0.846063077,-0.095848657,-0.524624467
1,2,13,0.039566495,-0.354428232,-0.895817816,0.268196404
1,2,16,0.036067259,-0.150476798,-0.817114949,0.556379139
1,2,18,0.051082235,-0.809005439,-0.113149002,0.576861858
1,2,20,0.018295957,-0.928005636,-0.335925639,0.161717996
1,2,14,0.034815956,-0.047547124,0.900602937,-0.432166249
1,2,17,0.039488077,-0.440449208,0.567417085,-0.695829093
1,2,19,0.039818790,-0.777029335,-0.206189960,-0.594731092
1,2,21,0.018086253,-0.466462910,0.331220269,-0.820777476
2,3,13,0.043794014,0.774845719,-0.631712377,-0.025807111
2,3,16,0.067201734,-0.392205894,-0.693336308,0.604615927
2,3,18,0.045555297,0.578286052,-0.422552168,0.697869837
2,3,20,0.115898430,-0.955374241,0.082457528,0.283686429
2,3,14,0.035237990,0.828587949,0.540899456,-0.143900990
2,3,17,0.062211916,-0.437853813,0.681048095,-0.586919725
2,3,19,0.036553178,0.338184565,-0.255051672,-0.905801296
2,3,21,0.117071897,-0.970544875,0.211123690,-0.116082214
3,4,13,0.043799460,-0.067052037,-0.902242541,0.426217556
3,4,16,0.041415513,-0.298680693,-0.700205028,0.648499429
3,4,18,0.036637880,-0.435508192,-0.317144781,0.842533767
3,4,20,0.011198593,-0.720170856,-0.071474105,-0.692359865
3,4,14,0.036409393,-0.081521779,0.878013134,-0.471877396
3,4,17,0.039093629,-0.549880743,0.514635742,-0.657878041
3,4,19,0.036080476,-0.437121034,-0.143895268,-0.887937725
3,4,21,0.016773062,0.987736642,-0.063991979,0.144278124
4,5,13,0.040389545,-0.095746256,-0.926253915,0.364867151
4,5,16,0.042236406,-0.278135031,-0.673814654,0.684705138
4,5,18,0.043455143,-0.717328668,-0.208192259,0.664975226
4,5,20,0.021782050,-0.898566127,0.116522782,-0.424058944
4,5,14,0.033659942,-0.046746712,0.831732631,-0.553508997
4,5,17,0.041753802,-0.590566754,0.537948251,-0.601537347
4,5,19,0.042629745,-0.744396269,-0.162364125,-0.647777438
4,5,21,0.012216812,0.663105190,-0.339277029,0.667552114
5,6,13,0.033346813,-0.094802767,-0.888150096,0.449900657
5,6,16,0.039312579,-0.369943768,-0.708088458,0.601476192
5,6,18,0.039512221,-0.588079810,-0.180411026,0.788420796
5,6,20,0.018295957,-0.843735814,0.030183664,-0.536110222
5,6,14,0.033695344,0.091310501,0.759970784,-0.643648088
5,6,17,0.041850768,-0.548743844,0.591803193,-0.590552688
5,6,19,0.028588682,-0.760890722,-0.371416479,-0.531981230
5,6,21,0.022397276,-0.967520595,0.179027393,0.178270429
6,7,13,0.030076189,-0.102112114,-0.905488968,0.411804646
6,7,16,0.034850180,-0.337923706,-0.518556893,0.785516500
6,7,18,0.044991769,-0.598818183,-0.336523503,0.726847827
6,7,20,0.014369112,-0.781003654,-0.501120150,-0.374147803
6,7,14,0.036376636,-0.010986781,0.813804805,-0.580983400
6,7,17,0.036383189,-0.482332140,0.660370171,-0.575574875
6,7,19,0.028928598,-0.644293427,-0.298915833,-0.704047799
6,7,21,0.018256821,0.482881278,0.260003418,0.836732984
7,8,13,0.026529644,-0.111992463,-0.833808422,0.540988624
7,8,16,0.025503229,-0.363271922,-0.642448902,0.674924254
7,8,18,0.051837515,-0.690630913,-0.222775981,0.688100219
7,8,20,0.037721667,-0.821802139,0.024033776,0.569548488
7,8,14,0.029174808,-0.190541953,0.682647228,-0.705687582
7,8,17,0.033878822,-0.385434270,0.774580896,-0.501451015
7,8,19,0.023750894,-0.796373785,-0.247049659,-0.552328050
7,8,21,0.010265537,-0.104059830,-0.405514926,0.908802390
8,9,13,0.022745855,-0.131122410,-0.711190403,0.691056967
8,9,16,0.024394674,-0.525629401,-0.710809350,0.467246503
8,9,18,0.051699333,-0.643303275,-0.193422958,0.740771294
8,9,20,0.021528823,-0.938807726,0.227127150,0.259937257
8,9,14,0.023970725,-0.259201795,0.494816720,-0.829854548
8,9,17,0.033353962,-0.428198725,0.794492424,-0.430771172
8,9,19,0.017672870,-0.872880936,-0.044408843,-0.485916346
8,9,21,0.025782168,-0.578751624,-0.501561046,0.643392622
9,10,13,0.013879589,-0.508745849,-0.705120862,0.495180845
9,10,16,0.027151456,-0.487880558,-0.578991055,0.653603494
9,10,18,0.039403453,-0.747740388,-0.235476613,0.621003985
9,10,20,0.035244759,-0.748180985,0.362574875,-0.555798352
9,10,14,0.020085011,-0.196657315,0.542158365,-0.817439198
9,10,17,0.026294939,-0.430832684,0.734106421,-0.525277317
9,10,19,0.024618441,-0.518410742,0.320305914,-0.793036699
9,10,21,0.039980136,0.128757849,-0.242368281,0.961622894
10,11,13,0.012525172,-0.428201258,-0.633576572,0.646493196
10,11,16,0.018961485,-0.523398042,-0.437466562,0.731798351
10,11,18,0.040217984,-0.776771724,-0.359854937,0.516834378
10,11,20,0.051690109,-0.802284479,0.409889162,-0.434100628
10,11,14,0.016858133,-0.282320529,0.479486853,-0.831023395
10,11,17,0.024820989,-0.330193788,0.653467655,-0.681246102
10,11,19,0.023750894,-0.599463165,0.643330455,-0.475983828
10,11,21,0.039638743,-0.273945630,-0.249369919,0.928917766
11,12,13,0.011005314,-0.240057185,-0.626407146,0.743958592
11,12,16,0.012900261,-0.424701810,-0.314002961,0.849292696
11,12,18,0.039620694,-0.741171837,-0.484018594,0.465455443
11,12,20,0.029019117,-0.983113885,0.151392385,-0.103787422
11,12,14,0.015097326,-0.311920315,0.493789434,-0.811746418
11,12,17,0.021205228,-0.263011128,0.628531516,-0.733003438
11,12,19,0.024335962,-0.495937765,0.828924000,-0.259781629
11,12,21,0.026222300,-0.151177987,-0.383542985,0.911342978
12,13,13,0.012138498,0.036819931,-0.426762223,0.904559791
12,13,16,0.010540556,-0.449826479,-0.541264892,0.712343395
12,13,18,0.034381803,-0.744718015,-0.542502224,0.388645053
12,13,20,0.053991504,-0.974359930,0.065421313,0.215207309
12,13,14,0.017180339,-0.051799979,0.283830106,-0.957522631
12,13,17,0.017359810,-0.317390651,0.896044135,-0.309830099
12,13,19,0.022577519,-0.463564664,0.689681530,-0.556481957
12,13,21,0.019737760,-0.794016302,-0.590783834,-0.145562887
13,14,13,0.009716684,-0.050085500,-0.471214145,0.881599605
13,14,16,0.010311883,-0.609610677,-0.630048394,0.484342992
13,14,18,0.040342290,-0.840079010,-0.386981398,0.380401254
13,14,20,0.066405714,-0.953222156,0.280533433,-0.112450510
13,14,14,0.013862400,-0.069906570,0.272378594,-0.960260630
13,14,17,0.019011714,-0.303461313,0.949162781,-0.086246841
13,14,19,0.022322634,-0.600425720,0.344178677,-0.721938610
13,14,21,0.029010901,-0.540944159,-0.835413039,0.098472096
14,15,13,0.010195623,-0.071556352,-0.552096665,0.831186354
14,15,16,0.013982276,-0.535986841,-0.801034927,0.266093254
14,15,18,0.034616783,-0.867669821,-0.183370113,0.462244272
14,15,20,0.053204063,-0.910637379,0.313187033,-0.269518852
14,15,14,0.014218994,0.260621637,0.305586696,-0.916442633
14,15,17,0.019136712,-0.321851164,0.800164342,-0.506566525
14,15,19,0.019519117,-0.842545688,-0.026711570,-0.539086759
14,15,21,0.041057017,-0.693503737,-0.454187900,0.559423268
15,16,13,0.011048557,-0.390195191,-0.180069968,0.905221283
15,16,16,0.015394455,-0.254610926,-0.964414120,0.077589639
15,16,18,0.030320944,-0.917719007,-0.047840688,0.394686967
15,16,20,0.047497608,-0.974543214,0.224122494,-0.013919136
15,16,14,0.010449687,-0.016624758,0.197340786,-0.979802489
15,16,17,0.019567914,-0.084198207,0.776712775,-0.624940217
15,16,19,0.021126375,-0.946793914,-0.316624343,-0.057446938
15,16,21,0.047452405,-0.890051484,-0.355773032,0.284864694
16,17,13,0.014084213,0.125846997,-0.304872334,0.944342971
16,17,16,0.012992342,-0.292034686,-0.948911786,-0.122621886
16,17,18,0.035143137,-0.945258439,-0.226406395,0.234917521
16,17,20,0.074629940,-0.987437963,0.103804193,0.119129382
16,17,14,0.017082918,0.446551412,0.148754492,-0.882354081
16,17,17,0.015822163,-0.263825417,0.766222954,-0.588044226
16,17,19,0.024227953,-0.981981993,-0.057391889,-0.179785907
16,17,21,0.048770703,-0.977675080,-0.202640459,-0.056159873
17,18,13,0.009716684,0.232382059,-0.500619471,0.835479200
17,18,16,0.010896455,-0.256242782,-0.935368896,-0.243195236
17,18,18,0.035581399,-0.920898914,-0.184276447,0.343800336
17,18,20,0.068198562,-0.978223920,0.165580750,-0.125169531
17,18,14,0.013010680,0.284028322,0.185524523,-0.941097438
17,18,17,0.010961900,-0.445957452,0.864442229,-0.236917615
17,18,19,0.030703837,-0.960252821,-0.056746993,-0.273238391
17,18,21,0.067583881,-0.961342394,-0.197925672,0.191661045
18,19,13,0.005027165,0.029482711,0.176030546,0.986450315
18,19,16,0.011492792,-0.342002183,-0.827286065,-0.447798193
18,19,18,0.027422326,-0.885248661,-0.366679221,0.286774218
18,19,20,0.049906410,-0.988264084,0.146679446,-0.044066232
18,19,14,0.009543378,0.047576416,-0.137523606,-0.988838732
18,19,17,0.015223140,-0.399873197,0.786578894,0.470072031
18,19,19,0.032587420,-0.966157973,-0.051355802,-0.252507627
18,19,21,0.065774284,-0.992821217,-0.108301789,0.051350251
19,20,13,0.003906250,-0.259817153,0.669093907,0.710315764
19,20,16,0.011575474,-0.201832905,-0.623950303,-0.756480396
19,20,18,0.029604776,-0.913285553,-0.396183968,0.095662974
19,20,20,0.053302571,-0.974180877,0.136660770,0.179789796
19,20,14,0.005736008,0.357775092,-0.236420169,-0.904061615
19,20,17,0.010675409,-0.133164674,0.704539180,0.698367476
19,20,19,0.024868973,-0.995644629,0.090802558,-0.021981910
19,20,21,0.051384751,-0.977101743,-0.013067488,-0.212537646
20,21,13,0.002929688,0.479881316,-0.049405102,0.892150939
20,21,16,0.012525172,-0.144409239,-0.633634329,-0.762290180
20,21,18,0.038528431,-0.958095729,-0.257418782,0.125970110
20,21,20,0.086898953,-0.982371569,0.175380632,0.064713337
20,21,14,0.006403751,0.616091847,-0.161523864,-0.773728192
20,21,17,0.007812505,0.083185196,0.373814583,0.925559998
20,21,19,0.026412552,-0.999611616,0.018881770,0.026489090
20,21,21,0.068128593,-0.989214301,-0.017625328,-0.145864129
21,22,13,0.005348855,0.030728046,0.515066862,0.856008708
21,22,16,0.014385695,-0.283882767,-0.734667420,-0.615734994
