frame_start,frame_end,joint,diff_angle_rad,axis_x,axis_y,axis_z
0,1,13,0.015191784,0.247128293,-0.213745788,-0.945665777
0,1,16,0.014168602,-0.017152261,0.736924112,0.675975144
0,1,18,0.032864273,-0.999320865,0.026037944,-0.025784653
0,1,20,0.046225559,-0.830656469,0.101191059,-0.547548890
0,1,14,0.008257591,-0.274534971,0.401111335,0.876747787
0,1,17,0.010983629,0.633643746,0.713003635,0.300584197
0,1,19,0.013264748,-0.951234818,-0.141292691,0.273895293
0,1,21,0.023284543,0.024414126,0.160554856,-0.987188876
1,2,13,0.021584125,-0.447578818,0.222703353,-0.866290092
1,2,16,0.004143205,0.273271650,-0.115475625,0.959338725
1,2,18,0.012255781,-0.719553530,-0.694190562,0.041024581
1,2,20,0.021137659,0.773245156,0.631090879,0.064118661
1,2,14,0.014566862,-0.404506743,-0.255498648,0.878340960
1,2,17,0.012937172,0.831435382,0.531429291,0.164305955
1,2,19,0.017632352,0.094518237,-0.086959049,0.992706954
1,2,21,0.044506889,-0.043385468,-0.167272955,-0.984998465
2,3,13,0.013584428,-0.595600486,0.530818462,-0.604784548
2,3,16,0.012807519,0.187919289,-0.700714767,-0.690106273
2,3,18,0.021825789,0.915162563,0.044025671,-0.401095361
2,3,20,0.016194502,0.908861399,0.412074775,0.066442706
2,3,14,0.015270052,-0.378237844,-0.408417046,0.830491543
2,3,17,0.011388593,0.698709071,0.169819877,0.696655452
2,3,19,0.013083775,0.425554127,-0.860011160,0.284170985
2,3,21,0.020472994,0.474481881,-0.006825394,-0.880500138
3,4,13,0.007658397,0.261707485,0.790422380,0.558043122
3,4,16,0.031996738,-0.153544888,-0.326313645,-0.932947576
3,4,18,0.013372158,0.914111435,0.074678764,-0.400736094
3,4,20,0.014550486,-0.142909601,-0.623881876,0.768196464
3,4,14,0.010786499,0.404779881,-0.773903489,0.489211619
3,4,17,0.026195008,0.100454532,-0.578259706,0.809638858
3,4,19,0.006870729,0.089360394,0.660355151,-0.744036138
3,4,21,0.013496388,-0.285301208,0.780336618,-0.559696078
4,5,13,0.010265537,0.801509321,0.450115234,-0.395103693
4,5,16,0.033991236,-0.196079001,-0.088221587,-0.976584971
4,5,18,0.019049300,0.187410042,-0.968182385,-0.170009583
4,5,20,0.018386951,-0.022632182,-0.483133107,0.875762820
4,5,14,0.020179752,0.552811801,-0.417367101,0.721815228
4,5,17,0.034932181,0.121628247,-0.741610706,0.659928620
4,5,19,0.036159690,-0.017841369,0.968560159,-0.248196006
4,5,21,0.014185419,0.299824804,0.543786883,-0.784534931
5,6,13,0.032048855,-0.091261879,0.360788554,-0.928247809
5,6,16,0.029002681,0.263605207,-0.109858364,-0.958506405
5,6,18,0.031150974,0.444622308,-0.883569896,-0.146551132
5,6,20,0.021999877,0.686921716,-0.180356398,0.704335511
5,6,14,0.039233655,0.122477964,-0.369532973,0.921233952
5,6,17,0.034159169,0.483440608,-0.771008193,0.414405257
5,6,19,0.049978025,0.082297727,0.991997302,-0.095768802
5,6,21,0.024676483,0.581417799,0.297557741,-0.757199109
6,7,13,0.043295730,0.052186351,0.444468796,-0.894340336
6,7,16,0.023620034,0.400487810,0.207593277,-0.892601132
6,7,18,0.052889410,0.555036843,-0.829041660,-0.068341777
6,7,20,0.006550984,0.751339793,-0.506245375,0.433044314
6,7,14,0.050391391,-0.011535941,-0.442030013,0.897056818
6,7,17,0.027793679,0.737281740,-0.483619541,0.471771389
6,7,19,0.050533146,0.371484637,0.926992834,-0.053251207
6,7,21,0.015897328,0.486650556,0.262324214,-0.833275557
7,8,13,0.041190371,-0.035669375,0.421103656,-0.906443894
7,8,16,0.028454931,-0.146918505,0.376927257,-0.914458871
7,8,18,0.040519211,0.348176509,-0.930979371,-0.110586636
7,8,20,0.027309062,0.962103844,-0.178409114,-0.207880080
7,8,14,0.043499015,0.008863057,-0.491919458,0.870693803
7,8,17,0.035715170,0.366338313,-0.755807936,0.542652309
7,8,19,0.060690798,0.085920058,0.995487928,-0.041578621
